url,Date,Column 1,Actual (1),Historical Average,Record
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-12,2019-06-12,Precipitation; 0,0,0.14,2.2
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-12,2019-06-12,Month to Date,1.59,1.7,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-12,2019-06-12,Year to Date,23.29,19.39,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-13,2019-06-13,Precipitation; 0.65,0.65,0.14,1.64
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-13,2019-06-13,Month to Date,2.24,1.84,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-13,2019-06-13,Year to Date,23.94,19.53,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-14,2019-06-14,Precipitation; 0,0,0.13,1.72
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-14,2019-06-14,Month to Date,2.24,1.97,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-14,2019-06-14,Year to Date,23.94,19.66,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-15,2019-06-15,Precipitation; 0,0,0.15,1.09
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-15,2019-06-15,Month to Date,2.57,2.39,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-15,2019-06-15,Year to Date,24.53,22.18,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-16,2019-06-16,Precipitation; 0.12,0.12,0.13,1.1
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-16,2019-06-16,Month to Date,2.29,2.23,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-16,2019-06-16,Year to Date,25.06,19.57,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-17,2019-06-17,Precipitation; 1e-16,1e-16,0.13,2.36
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-17,2019-06-17,Month to Date,2.29,2.36,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-17,2019-06-17,Year to Date,25.06,19.7,-
